Word	IDF
13	6.71042701737487
16	6.71042701737487
2000	6.71042701737487
2009	6.71042701737487
2015	6.71042701737487
2016	6.71042701737487
23	6.71042701737487
23rd	6.71042701737487
2nd	6.71042701737487
30th	6.71042701737487
47lg50	6.71042701737487
5th	6.71042701737487
80s	6.71042701737487
90s	6.71042701737487
about	4.838624840473278
accidents	6.71042701737487
account	6.71042701737487
act	6.71042701737487
action	6.71042701737487
actor	6.017279836814924
adele	6.304961909266705
advanced	6.71042701737487
africa	6.71042701737487
age	6.71042701737487
agenda	6.71042701737487
airline	6.71042701737487
airport	6.71042701737487
alcohol	6.71042701737487
all	6.71042701737487
alligenceairway	6.71042701737487
allstar	6.71042701737487
alltherage	6.71042701737487
aloha	6.71042701737487
alpaca	6.71042701737487
alpha	6.304961909266705
alrin	6.71042701737487
alrojovivo	6.71042701737487
altered	6.71042701737487
amansblogsite	6.71042701737487
amarillo	6.71042701737487
amateur	6.017279836814924
amaz0n	6.71042701737487
ambassador	6.71042701737487
ambulance	6.71042701737487
amc	6.304961909266705
amcity	6.71042701737487
ame	6.71042701737487
amendment	6.71042701737487
amercare	6.71042701737487
american	5.61181472870676
americans	6.71042701737487
ammunition	6.71042701737487
amozan	6.71042701737487
an	6.71042701737487
anabell	6.304961909266705
ananymous	6.71042701737487
and	4.570360853878599
anderem	6.71042701737487
anebelle	6.71042701737487
anibelle	6.71042701737487
animal	6.71042701737487
announcements	6.71042701737487
ant	6.304961909266705
antonio	6.71042701737487
april	6.71042701737487
are	4.918667548146814
arena	6.71042701737487
armer	6.71042701737487
arts	6.71042701737487
as	6.71042701737487
assassin	6.71042701737487
at	5.324132656254979
athletic	6.71042701737487
austin	6.71042701737487
auto	6.71042701737487
avengers	6.304961909266705
awakends	6.71042701737487
awakens	6.71042701737487
away	6.71042701737487
babies	6.71042701737487
bad	6.304961909266705
bagan	6.71042701737487
bailout	6.71042701737487
ball	6.71042701737487
bang	6.71042701737487
bank	6.304961909266705
bares	6.71042701737487
based	6.71042701737487
bases	6.71042701737487
basketball	6.304961909266705
batman	6.304961909266705
bautey	6.71042701737487
baymax	6.71042701737487
be	5.794136285500715
bear	5.794136285500715
bears	6.71042701737487
beast	6.71042701737487
been	6.71042701737487
beiber	6.71042701737487
being	6.71042701737487
belly	6.71042701737487
best	4.6955239968326055
bestbuty	6.71042701737487
bestusedtrucks	6.71042701737487
bethany	6.71042701737487
bethesda	6.71042701737487
betley	6.71042701737487
betsey	6.71042701737487
betty	6.71042701737487
bg	6.71042701737487
bgz	6.71042701737487
bhgtv	6.71042701737487
bianca	6.71042701737487
bibbero	6.71042701737487
bible	5.61181472870676
bibliotecas	6.71042701737487
bietet	6.71042701737487
big	6.71042701737487
biggest	6.71042701737487
bikes	6.71042701737487
billbow	6.71042701737487
birth	6.71042701737487
black	6.304961909266705
board	6.304961909266705
bodies	6.71042701737487
boo	6.71042701737487
book	6.304961909266705
bowers	6.71042701737487
break	6.71042701737487
breeds	6.71042701737487
brown	6.71042701737487
brunettes	6.71042701737487
buddy	6.71042701737487
buiolt	6.71042701737487
bullets	6.71042701737487
bumps	6.71042701737487
bunkbeds	6.71042701737487
burn	6.71042701737487
business	6.71042701737487
busters	6.304961909266705
buy	6.304961909266705
by	5.457664048879502
cabbage	6.71042701737487
caculator	6.71042701737487
calculator	6.304961909266705
calendar	6.71042701737487
california	6.71042701737487
call	6.71042701737487
called	6.017279836814924
camera	6.71042701737487
can	5.100989104940769
canceled	6.71042701737487
capitol	6.71042701737487
car	6.71042701737487
card	6.71042701737487
cards	6.71042701737487
care	6.71042701737487
carolina	6.71042701737487
cars	6.71042701737487
casino	6.71042701737487
cast	6.71042701737487
catch	6.71042701737487
cats	6.71042701737487
celebrities	6.71042701737487
center	5.794136285500715
character	6.71042701737487
charlie	6.71042701737487
chasecreditcardservices	6.71042701737487
chasing	6.71042701737487
chateau	6.71042701737487
chattahoochee	6.71042701737487
cheap	5.794136285500715
cheapmovies	6.71042701737487
cheat	6.304961909266705
cheats	6.71042701737487
checkreoderexpress	6.71042701737487
cheeta	6.304961909266705
cheetahs	6.71042701737487
chetta	6.71042701737487
chewbacca	6.71042701737487
chewey	6.71042701737487
chickmuelcs	6.71042701737487
chords	6.71042701737487
chronicels	6.71042701737487
church	6.71042701737487
city	6.71042701737487
clapalong	6.71042701737487
classroom	6.304961909266705
clinic	6.304961909266705
clothes	6.71042701737487
club	6.71042701737487
clubs	6.71042701737487
coats	6.71042701737487
code	6.71042701737487
codes	5.794136285500715
coffee	6.71042701737487
coll	6.71042701737487
college	6.304961909266705
colleges	6.71042701737487
color	6.71042701737487
com	4.764516868319556
come	5.794136285500715
comeing	6.304961909266705
comieng	6.71042701737487
coming	4.838624840473278
commission	6.304961909266705
communication	6.71042701737487
companies	6.71042701737487
company	6.71042701737487
computer	6.71042701737487
conditions	6.71042701737487
connects	6.71042701737487
conservative	6.71042701737487
construction	6.71042701737487
cool	6.304961909266705
cooper	6.71042701737487
correction	6.71042701737487
county	6.304961909266705
coupon	6.71042701737487
crates	6.71042701737487
credit	6.71042701737487
creed	6.71042701737487
crossdressers	6.71042701737487
crossword	6.71042701737487
cry	6.71042701737487
csc	6.71042701737487
ct	6.71042701737487
cuban	6.71042701737487
cubs	6.71042701737487
cupoons	6.71042701737487
curises	6.71042701737487
currency	6.71042701737487
current	6.71042701737487
curry	6.71042701737487
curvy	6.71042701737487
custom	6.017279836814924
cut	6.71042701737487
cute	6.71042701737487
cutterbee	6.71042701737487
cuvant	6.71042701737487
